"t"	"Luma"	"Luminance"	"Shutter Speed (s)"	"Aperture (f/N)"	"ISO"
4.923022612E0	1.000963461E0	1.032882571E-1	3.499613100E-2	1.799999952E0	8.000000000E2
4.993256111E0	9.998629386E-1	1.090239155E-1	6.631807400E-2	1.799999952E0	4.000000000E2
5.063486919E0	1.000620808E0	1.210771402E-1	5.972094300E-2	1.799999952E0	4.000000000E2
5.133733111E0	1.000761900E0	1.329605090E-1	5.437105600E-2	1.799999952E0	4.000000000E2
5.193970496E0	9.999072820E-1	1.447654740E-1	4.993673800E-2	1.799999952E0	4.000000000E2
5.254204304E0	1.000076593E0	1.564580420E-1	4.619622100E-2	1.799999952E0	4.000000000E2
5.304442957E0	1.000318466E0	1.681497519E-1	4.299508400E-2	1.799999952E0	4.000000000E2
5.371106073E0	1.001116647E0	1.797279568E-1	4.022221800E-2	1.799999952E0	4.000000000E2
5.433610150E0	1.001568144E0	1.913505749E-1	3.779547700E-2	1.799999952E0	4.000000000E2
5.489164650E0	1.001112616E0	2.029336935E-1	3.565272900E-2	1.799999952E0	4.000000000E2
5.539401150E0	1.001701174E0	2.144914527E-1	3.374605300E-2	1.799999952E0	4.000000000E2
5.589642534E0	1.000181405E0	2.259468770E-1	6.407571700E-2	1.799999952E0	2.000000000E2
5.639880534E0	1.002406637E0	2.500059707E-1	5.791717000E-2	1.799999952E0	2.000000000E2
5.690114803E0	9.989276961E-1	2.738471428E-1	5.288557200E-2	1.799999952E0	2.000000000E2
5.740353726E0	1.003559565E0	2.974560074E-1	4.869024600E-2	1.799999952E0	2.000000000E2
5.790592342E0	1.000850587E0	3.209417612E-1	4.513413500E-2	1.799999952E0	2.000000000E2
5.840832342E0	1.000197530E0	3.443394950E-1	4.207849900E-2	1.799999952E0	2.000000000E2
5.907509726E0	1.002410668E0	3.676073837E-1	3.942259800E-2	1.799999952E0	2.000000000E2
5.976330226E0	1.001886610E0	3.905965758E-1	3.709138600E-2	1.799999952E0	2.000000000E2
6.031866880E0	1.004131998E0	4.136469603E-1	3.502772900E-2	1.799999952E0	2.000000000E2
6.081871149E0	1.002749291E0	4.367321620E-1	6.637463200E-2	1.799999952E0	1.000000000E2
6.137320841E0	1.001733424E0	4.847498266E-1	5.976624400E-2	1.799999952E0	1.000000000E2
6.180799111E0	1.002688822E0	5.325836959E-1	5.440823800E-2	1.799999952E0	1.000000000E2
6.220802649E0	1.002265544E0	5.799046348E-1	4.996785300E-2	1.799999952E0	1.000000000E2
6.259263880E0	1.003212881E0	6.270760030E-1	4.622267300E-2	1.799999952E0	1.000000000E2
6.294972264E0	1.005119647E0	6.739260147E-1	4.301786900E-2	1.799999952E0	1.000000000E2
6.361634572E0	1.004252935E0	7.204729435E-1	4.024206300E-2	1.799999952E0	1.000000000E2
6.434136149E0	1.001955141E0	7.661720685E-1	3.781292700E-2	1.799999952E0	1.000000000E2
6.489691457E0	1.002358262E0	8.123993782E-1	3.566820000E-2	1.799999952E0	1.000000000E2
6.545250418E0	1.002084140E0	8.583596777E-1	3.375986900E-2	1.799999952E0	1.000000000E2
6.595254957E0	1.003370098E0	9.043790263E-1	6.410055100E-2	1.799999952E0	5.000000000E1
6.638733687E0	1.005216396E0	1.000937537E0	5.793723000E-2	1.799999952E0	5.000000000E1
6.680403533E0	1.008792086E0	1.096425204E0	5.290214600E-2	1.799999952E0	5.000000000E1
6.718855110E0	1.009356456E0	1.191145451E0	4.870419000E-2	1.799999952E0	5.000000000E1
6.754571533E0	1.011158411E0	1.285091965E0	4.514604200E-2	1.799999952E0	5.000000000E1
6.789051456E0	1.010485197E0	1.285180063E0	4.514604200E-2	1.799999952E0	5.000000000E1
6.855715341E0	1.013298987E0	1.471476522E0	3.943159400E-2	1.799999952E0	5.000000000E1
6.914536649E0	1.009219395E0	1.564227924E0	3.709931800E-2	1.799999952E0	5.000000000E1
6.970090687E0	1.011843718E0	1.656545456E0	3.503477800E-2	1.799999952E0	5.000000000E1
7.025642879E0	1.009896640E0	1.748457419E0	6.638724800E-2	1.799999952E0	2.500000000E1
7.085646764E0	1.004357746E0	1.940080593E0	5.977634700E-2	1.799999952E0	2.500000000E1
7.129125687E0	1.010037732E0	1.940652022E0	5.977634700E-2	1.799999952E0	2.500000000E1
7.169130533E0	1.006381418E0	2.321684088E0	4.997479100E-2	1.799999952E0	2.500000000E1
7.207596879E0	1.011863874E0	2.510058966E0	4.622857100E-2	1.799999952E0	2.500000000E1
7.243301725E0	1.010057888E0	2.510463839E0	4.622857100E-2	1.799999952E0	2.500000000E1
7.309967341E0	1.009304051E0	2.883621215E0	4.024648700E-2	1.799999952E0	2.500000000E1
7.372465725E0	1.009271801E0	3.068988252E0	3.781681700E-2	1.799999952E0	2.500000000E1
